Participant,colour,shape,conjunction
52,22,21,13
53,6,18,24
54,6,10,9
55,6,17,8
56,6,8,8
57,10,17,20
58,5,12,9
59,20,14,15
60,8,22,10
61,7,11,10
62,9,9,13
63,8,8,9
64,10,12,10
65,7,31,12
66,11,13,10
67,14,16,13
68,5,15,10
69,6,11,8
70,12,16,13
71,11,19,11
