Participant,RT,NumberOfPieces,Box,Strategy,
64,173,24,box,edges,
65,87,12,box,,
65,160,16,nobox,edges,
65,215,20,nobox,edges,
65,231,24,box,mixed,
66,64,12,box,,
66,95,16,box,mixed,
66,219,20,nobox,mixed,
66,303,24,nobox,edges,
67,100,12,nobox,,
67,159,16,box,mixed,
67,201,20,box,mixed,
67,425,24,nobox,edges,
68,100,12,nobox,,
68,172,16,nobox,edges,
68,167,20,box,mixed,
68,200,24,box,mixed,
69,61,12,box,,
69,94,16,nobox,mixed,
69,146,20,nobox,mixed,
69,156,24,box,mixed,
70,57,12,box,,
70,73,16,box,corners,
70,183,20,nobox,corners,
70,186,24,nobox,corners,
71,52,12,nobox,,
71,82,16,box,mixed,
71,117,20,box,mixed,
71,170,24,nobox,mixed,
